Model,Accuracy,Precision,Recall,F1-Score
KNN (k=3),0.9049180327868852,0.9070667329027985,0.9049180327868852,0.9053265309879042
KNN (k=5),0.9344262295081968,0.9346675055396231,0.9344262295081968,0.9342814950498088
KNN (k=7),0.9245901639344263,0.9255891965746497,0.9245901639344263,0.9243737739131777
KNN (k=9),0.921311475409836,0.9228369320414707,0.921311475409836,0.921153079714034
Decision Tree,0.8524590163934426,0.859208688002378,0.8524590163934426,0.8542668149030848
Naive Bayes,0.8885245901639345,0.920714542695431,0.8885245901639345,0.8951903212162998
